id,generic_name,brand_names,dosage_form,strength,notification_number,notification_date,ban_reason,source_pdf,date_added
6422,Nimesulide +paracetamol Dispesible Tablets S.o. 712 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.487557+05:30
6423,Paracetamol + Phenylephrine + Caffeine S.o. 713 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.488128+05:30
6424,Diclofenac +tramadol +paracetamol S.o. 714 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.489589+05:30
6425,Diclofenac + Paracetamol + Chlorzoxazone + Famotidine S.o. 715 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.490172+05:30
6426,Naproxen+paracetamol S.o. 716 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.490747+05:30
6427,Nimesulide + Serratiopeptidase S.o. 717 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.491327+05:30
6428,Paracetamol +diclofenac +famotidine S.o. 718 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.491902+05:30
6429,Nimesulide + Pitofenone + Fenpiverinium + Benzyl Alcohol S.o. 719 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.492474+05:30
6430,Omeprazole + Paracetamol + Diclofenac S.o. 720 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.493050+05:30
6431,Nimesulide + Paracetamol S.o. 721 E,,Injection,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.493641+05:30
6432,Tamsulosin + Diclofenac S.o. 722 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.494208+05:30
6433,Paracetamol +phenylephirine +chlorpheniramine S.o. 723 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.494776+05:30
6434,Diclofenac +zinc Carnosine S.o. 724 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.495448+05:30
6435,Diclofenac + Paracetamol+ Chlorpheniramine Maleate + S.o. 725 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.497377+05:30
6436,Paracetamol + Pseudoephedrine + Cetrizine S.o. 726 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.499323+05:30
6437,Phenylbutazone+sodium Salicylate S.o. 727 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.500761+05:30
6438,Lornoxicam+paracetamol+trypsin S.o. 728 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.502125+05:30
6439,Paracetamol +mefenamic Acid +ranitidine +dicyclomine S.o. 729 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.503410+05:30
6440,Nimesulide + Dicyclomine S.o. 730 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.504821+05:30
6441,Heparin +diclofenac S.o. 731 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.506087+05:30
6442,Glucosamine +methyl Sulfonylmethane+vitamin D3 + S.o. 732 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.507275+05:30
6443,Paracetamol +tapentadol S.o. 733 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.508377+05:30
6444,Tranexamic Acid + Proanthocyanidin S.o. 734 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.509548+05:30
6445,Benzoxoniumchloride+lidocaine S.o. 735 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.510622+05:30
6446,Lornoxicam +paracetamol +tramadol S.o. 736 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.513445+05:30
6447,Lornoxicam +paracetamol +serratiopeptidase S.o. 737 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.515041+05:30
6448,Diclofenac +paracetamol +magnesium Trisilicate S.o. 738 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.516358+05:30
6449,Paracetamol +domperidone +caffeine S.o. 739 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.517606+05:30
6450,Ammonium Chloride +sodium Citrate +chlorpheniramine S.o. 740 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.518277+05:30
6451,Paracetamol +prochlorperazine Maleate S.o. 741 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.519058+05:30
6452,Combikit Of 3 Tablets Of Serratiopeptidase Enteric Coated,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.519930+05:30
6453,Nimesulide +paracetamol S.o. 743 E,,Suspension,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.520547+05:30
6454,Aceclofenac +paracetamol +famotidine S.o. 744 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.521221+05:30
6455,Aceclofenac + Zinc Carnosine S.o. 745 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.521895+05:30
