id,generic_name,brand_names,dosage_form,strength,notification_number,notification_date,ban_reason,source_pdf,date_added
48,Liquid Oral Antidiarrhoeals Or Any Other Dosage Form For Pediatric Use Containing Diphenoxylate L Or Loperamide Or Atropine Or Belladona Including Their Salts Or Esters Or Metabolites Hyoscyamine Or Their Extracts Or Their Alkaloids,,,,G.S.R. 731(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.272277+05:30
49,Liquid Oral Antidiarrhoeals Or Any Other Dosage Form For Pediatric Use Containing Halogenated Hydroxyquinolines,,,,G.S.R. 731(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.273265+05:30
50,Fixed Dose Combination Of Antidiarrhoeals With Electrolytes,,,,G.S.R. 731(E),1994-09-30,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.274248+05:30
51,Patent And Proprietary Oral Rehydration Salts Other Than Those Conforming To The Following Parameters: (a) Patent And Proprietary Oral Rehydration Salts On Reconstitution To One Litre Shall Contain: Sodium–50to90milliosmoles Total Osmolarity–240-290 Millios Moles Dextrose: Sodium Molar Ratio–not Less Than 1:1 And Not Morethan3:1 (b) Patent And Proprietary Cereal Based Oral Rehydration Salts On Reconstitution To One Litre Shall Contain: Sodium–50 To 90 Millios Moles Total Osmolarity–not Morethan 290 Millios Moles Precooked Rice–equivalent To Not Less Than 50gms And Not More Than 80gms As Total Replacement Of Dextrose (c) Patent And Proprietary Oral Rehydration Salts (ors) May Contain Amino Acids In Addition To Oral Rehydration Salts Conforming To The Parameters Specified Above And Labelled With The Indication For “adult Chloretic Diarrhea Only” (d) Patent And Proprietary Oral Rehydration Salts (ors) Shall Not Contain Mono Or Polysaccharides Or Saccharin Sweetening Agent,,,,G.S.R. 57(E),1995-02-07,,vaayath.com,2026-07-03 10:31:46.275304+05:30
52,Fixed Dose Combination Of Oxyphenbutazone Or Phenyl Butazone With Any Other Drug,,,,G.S.R. 633(E),1995-09-13,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.276542+05:30
53,Fixed Dose Combination Of Analgin With Any Other Drug,,,,G.S.R. 405(E),1996-06-03,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.277541+05:30
54,Fixed Dose Combination Of Dextropropoxyphene With Any Other Drug Other Than Anti-spasmodics And/or Non-steriodal Anti- Inflammatory Drugs (nsaids),,,,G.S.R. 633(E),1995-09-03,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.278570+05:30
55,"Fixed Dose Combination Of A Drug, Standards Of Which Are Prescribed In The Second Schedule To The Said Act With An Ayurvedic, Siddha Or Unani Drug",,,,G.S.R. 633(E),1995-09-13,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.279588+05:30
56,Mepacrine Hydrochloride (quinacrine And Its Salts) In Any Dosage Form For Use For Female Sterilization Or Contraception,,,,G.S.R. 499(E),1998-08-14,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.280591+05:30
57,Fenfluramine,,,,G.S.R. 499(E),1998-08-14,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.281566+05:30
58,Dexfenfluramine,,,,G.S.R. 499(E),1998-08-14,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.282527+05:30
59,Fixed Dose Combination Of Diazepam And Diphenhydramine Hydrochloride,,,,G.S.R. 169(E),2001-03-12,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.283496+05:30
60,Cosmetics Licensed As Toothpaste/tooth Powder Containing Tobacco,,,,G.S.R. 444(E),1992-04-30,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.284476+05:30
61,Parenteal Preparations Fixed Combination Of Streptomycin With Pencillin,,,,G.S.R. 93(E),1997-02-25,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.285456+05:30
62,Fixed Dose Combination Of Vitamin B1 Vitamin B6 And Vitamin B12 For Human Use,,,,G.S.R. 702(E),1999-10-14,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.286464+05:30
63,Fixed Dose Combination Of Haemoglobin In Any Form (natural Or Synthetic),,,,G.S.R. 814(E),1999-12-16,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.287466+05:30
64,"Fixed Dose Combination Of Pancreatin Or Pancrelipase Containing Amylase, Protease And Lipase With Any Other Enzyme",,,,G.S.R. 814(E),1999-12-16,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.288490+05:30
65,Fixed Dose Combination Of Nitrofurantoin And Trimethoprim,,,,G.S.R. 170(E),2001-03-12,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.289491+05:30
66,Fixed Dose Combination Of Phenobarbitone With Any Anti- Asthmatic Drugs,,,,G.S.R. 170(E),2001-03-12,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.290488+05:30
67,Fixed Dose Combination Of Phenobarbitone With Hyoscin And/or Hyoscyamine,,,,G.S.R. 170(E),2001-03-12,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.291478+05:30
68,Fixed Dose Combination Of Phenobarbitone With Ergotamine And/or Belladona,,,,G.S.R. 170(E),2001-03-12,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.292473+05:30
69,Fixed Dose Combination Of Haloperidol With Any Anti- Cholinergic Agent Including Propantheline Bromide,,,,G.S.R. 170(E),2001-03-12,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.293504+05:30
70,Fixed Dose Combination Of Nalidixic Acid With Any Anti-amoebic Including Metronidazole,,,,G.S.R. 170(E),2001-03-12,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.294575+05:30
71,Fixed Dose Combination Of Loperamide Hydrochloride With Furazolidone,,,,G.S.R. 170(E),2001-03-12,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.295607+05:30
72,Fixed Dose Combination Of Cyproheptadine With Lysine Or Peptone,,,,G.S.R. 170(E),2001-03-12,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.296616+05:30
73,Astemizole,,,,G.S.R. 191(E),2003-03-05,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.297617+05:30
74,Terfinadine,,,,G.S.R. 191(E),2003-03-05,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.298608+05:30
75,Phenformin,,,,G.S.R. 780(E),2003-10-01,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.299581+05:30
76,Rofecoxib And Its Formulations,,,,G.S.R. 810(E),2004-12-13,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.300551+05:30
77,Valdecoxib And Its Formulations,,,,G.S.R. 510(E),2005-07-28,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.301518+05:30
78,Diclofenac And Its Formulations (for Animal Use),,,,G.S.R. 499(E),2008-07-04,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.302488+05:30
79,Rimonabant,,,,G.S.R. 884(E),2009-12-11,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.303453+05:30
80,Rosiglitazone,,,,G.S.R. 910(E),2010-11-12,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.304414+05:30
81,Nimesulide Formulations For Human Use In Children Below 12years Of Age,,,,G.S.R. 82(E),2011-02-10,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.305381+05:30
82,Cisapride And Its Formulations For Human Use,,,,G.S.R. 82(E),2011-02-10,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.306364+05:30
83,Phenypropanol Amine And Its Formulations For Human Use,,,,G.S.R. 82(E),2011-02-10,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.307442+05:30
84,"Human Placental Extract And Its Formulations For Human Use Except Its 1. Topical Application For Wound Healing, And 2. Injection For Pelvic Inflammatory Disease",,,,G.S.R. 418(E),2011-05-30,,vaayath.com,2026-07-03 10:31:46.308418+05:30
85,Sibutramine And Its Formulations For Human Use,,,,G.S.R. 82(E),2011-02-10,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.309399+05:30
86,R-sibutramine And Its Formulations For Human Use,,,,G.S.R. 82(E),2011-02-10,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.310370+05:30
87,“gatifloxacin Formulation For Systemic Use In Human By Any Route Including Oral And Injectable”,,,,G.S.R. 218(E),2011-03-16,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.311379+05:30
88,Tegaserod And Its Formulations,,,,G.S.R. 218(E),2011-03-16,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.312387+05:30
89,Letrozole For Induction Of Ovulation In Anovulatory Infertility,,,,G.S.R. 752(E),2011-10-12,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.313348+05:30
90,Serodiagnostic Test Kits For Diagnosis Of Tuberculosis,,,,G.S.R. 432(E),2012-06-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.314329+05:30
91,Dextropropoxyphene And Formulations Containing Dextropropoxyphene For Human Use,,,,G.S.R. 332(E),2013-05-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.315298+05:30
92,Pioglitazone And All Formulations Containing Pioglitazone For Human Use,,,,G.S.R. 379(E),2013-06-18,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.316279+05:30
93,Fixed Dose Combination Of Flupenthixol +melitracen For Human Use,,,,G.S.R. 377(E),2013-06-18,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.317263+05:30
94,Analgin And All Formulations Containing Analgin For Human Use,,,,G.S.R. 378(E),2013-07-31,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.318269+05:30
95,Paracetamol + Phenylephrine +caffeine,,,,S.O. 713(E),2016-03-10,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.319252+05:30
96,Imipramine+diazepam,,,,S.O. 795(E),2016-03-10,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.320229+05:30
97,Paracetamol + Bromhexine + Phenylephrine+ Chlorpheniramine + Guaifenesin,,,,S.O. 977(E),2016-03-10,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.321223+05:30
98,Chlorpheniramine Maleate + Ammonium Chloride + Sodium Citrate,,,,S.O. 4532(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.322242+05:30
99,Paracetamol + Propyphenazone + Caffeine,,,,S.O. 4689(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.323269+05:30
100,Aceclofenac + Paracetamol + Rabeprazole,,,,S.O. 4379(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.324283+05:30
101,"Combikit Of Azithromycin Dihydrate, Secnidazole And Fluconazole",,,,S.O. 4429(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.325495+05:30
102,Glimepiride1mg/2mg/3mg + Pioglitazone15mg/15mg/15mg + Metformin1000mg/1000mg/1000mg,,,,S.O. 4471(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.326478+05:30
103,Glimepiride 1mg/2mg + Pioglitazone 15mg/15mg + Metformin 850mg/850mg,,,,S.O. 4472(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.327374+05:30
104,Pioglitazone 30mg + Metformin 500mg,,,,S.O. 4479(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.328300+05:30
105,Nimesulide + Diclofenac,,,,S.O. 4380(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.329160+05:30
106,Nimesulide + Cetirizine +caffeine,,,,S.O. 4381(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.329990+05:30
107,Nimesulide + Tizanidine,,,,S.O. 4382(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.330894+05:30
108,Paracetamol +cetirizine + Caffeine,,,,S.O. 4383(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.331848+05:30
109,Diclofenac + Tramadol +chlorzoxazone,,,,S.O. 4384(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.332734+05:30
110,Dicyclomine + Paracetamol+ Domperidone,,,,S.O. 4385(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.333571+05:30
111,Diclofenac + Tramadol + Paracetamol,,,,S.O. 4386(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.334553+05:30
112,Diclofenac + Paracetamol + Chlorzoxazone + Famotidine,,,,S.O. 4387(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.335525+05:30
113,Naproxen + Paracetamol,,,,S.O. 4388(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.336469+05:30
114,Nimesulide + Serratiopeptidase,,,,S.O. 4389(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.337349+05:30
115,Paracetamol + Diclofenac + Famotidine,,,,S.O. 4390(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.338262+05:30
116,Nimesulide + Pitofenone + Fenpiverinium + Benzyl Alcohol,,,,S.O. 4391(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.339168+05:30
117,Omeprazole + Paracetamol + Diclofenac,,,,S.O. 4392(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.340148+05:30
118,Nimesulide + Paracetamol Injection,,,,S.O. 4393(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.341136+05:30
